,UniqueID,Site,RBCL:Rubus_chamaemorus,RBCL:Prunella_vulgaris,RBCL:Symphoricarpos_occidentalis,RBCL:Verbascum_sp,RBCL:Viburnum_acerifolium,RBCL:Berberis_sp,RBCL:Spiraea_sp,RBCL:Caprifoliaceae_sp,RBCL:Prunus_sp,RBCL:Vicia_cirrhosa,RBCL:Tiquilia_paronychioides,RBCL:Cicuta_sp,RBCL:Glycine_sp,RBCL:Campanula_sp,RBCL:Dicentra_sp,RBCL:Ceanothus_sp,RBCL:Salix_sp,RBCL:Aegopodium_sp,RBCL:Sambucus_sp,RBCL:Dicentra_formosa,RBCL:Iris_missouriensis,RBCL:Sphagneticola_trilobata,RBCL:Galium_sp,RBCL:Senecio_sp,RBCL:Rubus_sp,RBCL:Digitalis_sp,RBCL:Achillea_sp,RBCL:Stachys_sp,RBCL:Ericaceae_sp,RBCL:Daucus_sp,RBCL:Sium_sp,RBCL:Gaultheria_sp,RBCL:Scrophularia_sp,RBCL:Apiales_sp,RBCL:Cirsium_sp,RBCL:Crepis_sp,RBCL:Holodiscus_sp,RBCL:Chamerion_sp,RBCL:Cichorium_sp,RBCL:Lotus_sp,RBCL:Hypericum_sp,RBCL:Lamiales_sp,RBCL:Rhamnus_sp,RBCL:Arceuthobium_sp,RBCL:Arctium_sp,RBCL:Capsella_sp,RBCL:Lithocarpus_sp,RBCL:Prunella_sp,RBCL:Hypericum_elodeoides,Project,RBCL:Brassicaceae_sp,RBCL:Swertia_sp,RBCL:Dalea_sp,RBCL:Scrophularia_lanceolata,RBCL:Lithospermum_sp,RBCL:Laennecia_schiedeana,RBCL:Campanula_rotundifolia,RBCL:Asterids_sp,RBCL:Vicia_americana,RBCL:Penstemon_sp,RBCL:Geranium_sp,RBCL:Verbascum_thapsus,RBCL:Pertusadina_eurhyncha,RBCL:Trifolium_angustifolium,RBCL:Oxalis_pes-caprae,RBCL:Cucumus_melo,RBCL:Eleocharis_sp,RBCL:Apiaceae_sp.1,RBCL:Rubus_ursinus,RBCL:Cucurbita_pepo,RBCL:Matricaria_matricarioides,RBCL:Lamiaceae_sp.1,RBCL:Schoenoplectus_lacustris,RBCL:Brassica_rapa,RBCL:Lotus_japonicus,RBCL:Cucurbitaceae_sp.1,RBCL:Pisum_sativum,RBCL:Betulaceae_sp,RBCL:Lamiaceae_sp.2,RBCL:Tamaricaceae_sp,RBCL:Senna_sp,RBCL:Achillea_millefolium,RBCL:Cinnamomum_sp,RBCL:Apiaceae_sp.2,RBCL:Erigeron_canadensis,RBCL:Helianthus_annuus,RBCL:Capsella_bursa-pastoris,RBCL:Cicuta_maculata,RBCL:Convolvulus_arvensis,RBCL:Cucurbitaceae_sp.2,RBCL:Actinidia_arguta,RBCL:Salvia_sp.1,RBCL:Citrus_sp,RBCL:Prunus_cerasus,RBCL:Apiaceae_sp.3,RBCL:Rubiaceae_sp,RBCL:Lamiaceae_sp.3,RBCL:Commelinaceae_sp,RBCL:Salvia_sp.2,RBCL:Helminthotheca_echioides,RBCL:Ceanothus_lemmonii,RBCL:Zygophyllaceae_sp,RBCL:Boraginaceae_sp,RBCL:Fraxinus_sp,RBCL:Lauraceae_sp.1,RBCL:Cucurbitaceae_sp.3,RBCL:Marrubium_vulgare,RBCL:Solanum_parishii,RBCL:Salvia_sp.3,RBCL:Phacelia_heterophylla,RBCL:Acmispon_glaber,RBCL:Tamarix_usneoides,RBCL:Asclepias_sp.1,RBCL:Apiaceae_sp.4,RBCL:Allium_sp,RBCL:Meehania_sp,RBCL:Lonicera_orientalis,RBCL:Cornus_nuttallii,RBCL:Asphodelaceae_sp,RBCL:Plumbaginaceae_sp,RBCL:Helianthus_sp,RBCL:Zinnia_elegans,RBCL:Conium_maculatum,RBCL:Camassia_sp,RBCL:Eschscholzia_californica,RBCL:Malva_parviflora,RBCL:Buddleja_davidii,RBCL:Polygonum_sp,RBCL:Albizia_niopoides,RBCL:Crataegus_pinnatifida,RBCL:Antirrhinum_majus,RBCL:Rhamnaceae_sp,RBCL:Rutaceae_sp,RBCL:Rosa_californica,RBCL:Rosaceae_sp,RBCL:Raphanus_sativus,RBCL:Araceae_sp,RBCL:Apiaceae_sp.5,RBCL:Adenostoma_fasciculatum,RBCL:Erodium_brachycarpum,RBCL:Juglans_regia,RBCL:Solanum_lycopersicum,RBCL:Pouteria_sp,RBCL:Malus_domestica,RBCL:Taraxacum_brevicorniculatum,RBCL:Salvia_sp.4,RBCL:Phyla_nodiflora,RBCL:Ailanthus_altissima,RBCL:Apocynaceae_sp,RBCL:Eriogonum_sp,RBCL:Ramnus_crenata,RBCL:Lamiaceae_sp.4,RBCL:Cucurbitaceae_sp.4,RBCL:Arecaceae_sp,RBCL:Thymelaeaceae_sp,RBCL:Heliotropium_sp,RBCL:Asteraceae_sp.1,RBCL:Lamiaceae_sp.5,RBCL:Papaveraceae_sp.1,RBCL:Asteraceae_sp.2,RBCL:Lamiaceae_sp.6,RBCL:Castanea_sp,RBCL:Fabaceae_sp,RBCL:Lamiaceae_sp,RBCL:Cucurbitaceae_sp,RBCL:Lauraceae_sp,RBCL:Asclepias_sp,RBCL:Asteraceae_sp,RBCL:Papaveraceae_sp,RBCL:Daucus_carota,RBCL:Salvia_sp,RBCL:Cichorium_intybus,RBCL:Viburnum_sp,RBCL:Vicia_sp,RBCL:Medicago_sp,RBCL:Lupinus_sp,RBCL:Alnus_sp,RBCL:Plantago_sp,RBCL:Fagaceae_sp,RBCL:Trifolium_sp,RBCL:Ligustrum_sp,RBCL:Quercus_sp,RBCL:Potentilla_sp,RBCL:Fragaria_sp,RBCL:Taraxacum_officinale,RBCL:Apiaceae_sp
1212,20455,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.232142857142857,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0535714285714286,,,,,,,,0.0267857142857143,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1214,20457,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.446428571428571,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.553571428571429,0.0
1219,20462,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.875,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0625,0.0
1220,20463,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.866071428571429,0.0,0.0892857142857143,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0089285714285714,,,,,,,,0.0,,,,0.0178571428571429,0.0,,0.0,0.0,0.0178571428571429,0.0
1224,20467,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.946428571428571,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0535714285714286,0.0
1227,20470,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.955357142857143,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0446428571428571,0.0
1228,20471,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258928571428571,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.196428571428571,,,,,,,,0.0,,,,0.267857142857143,0.0,,0.0,0.0,0.258928571428571,0.0178571428571429
1230,20473,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133928571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.866071428571429,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1231,20474,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0803571428571429,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.919642857142857,0.0
1232,20475,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.919642857142857,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0803571428571429,0.0
1233,20476,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1234,20477,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1235,20478,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.839285714285714,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.160714285714286,0.0
1236,20479,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.75,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.1875,0.0625
1238,20481,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.892857142857143,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1239,20482,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.660714285714286,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.294642857142857,0.0
1240,20483,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0
1241,20484,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1242,20485,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1243,20486,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.964285714285714,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0357142857142857,0.0
1244,20487,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0535714285714286,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.946428571428571,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1246,20489,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1247,20490,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0
1248,20491,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.982142857142857,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0178571428571429,0.0
1249,20492,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446428571428571,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.866071428571429,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0892857142857143,0.0
1250,20493,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.357142857142857,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.642857142857143,0.0
1251,20494,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1252,20495,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089285714285714,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0982142857142857,,,,,,,,0.0535714285714286,,,,0.0,0.0,,0.0,0.0,0.839285714285714,0.0
1254,20497,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0
1255,20498,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.428571428571429,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.571428571428571,0.0
1256,20499,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.660714285714286,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.339285714285714,0.0
1257,20500,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0
1258,20501,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.401785714285714,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.598214285714286,0.0
1259,20502,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.107142857142857,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0803571428571429,0.0
1260,20503,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.491071428571429,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.196428571428571,0.0
1261,20504,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1263,20506,JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.982142857142857,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0178571428571429,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
1269,20512,JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.526785714285714,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0267857142857143,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.446428571428571,0.0
1271,20514,JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.9375,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0625,,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
